year_index,p10_value,p50_value,p90_value
0,75000.0,75000.0,75000.0
1,38308.60063949887,42740.13912400255,46279.49755554366
2,26509.558900393782,27491.29734885682,28807.160215909862
3,18485.7916710151,19849.58520529697,22284.056887809933
4,14151.834358009135,15427.843002412716,17473.87124896312
5,10706.744549260382,12358.02578050849,14710.97175731528
6,8792.704712340124,11016.84736806953,12871.086862480714
7,7273.130974419387,9181.204408285716,11134.953262328458
8,5824.231243760816,8508.86753587489,8794.79734326112
9,4907.685066692141,8455.069730759335,9274.373204444655
10,5162.9104864934425,7513.29736554893,9263.31091719871
11,4479.23486590839,6629.014692242011,9057.306994999206
12,4334.502283251843,5998.789012197466,7420.49970232423
13,4385.017691866487,5893.713764114012,7898.820492140837
14,4758.07019805404,6152.742359308598,8277.166868024064
15,4350.903590870785,5913.618398254931,8161.724846924983
